character	initial	final	tone	mc
㜷	n	aj	1	mje0
㜸	g	in	3	giet
㜸	g	im	3	giet
㜹	c	y	0	
㜺	ţ	an	1	ţan2,ḑan2
㜻	ql	yn	1	
㜼	ḑ	rn	3	
㜽	ţ	i	1	ţi1
㜾	h	aj	0	
㜿	ḑ	wj	2	
㝀	x	ov	1	
㝁	x	yn	0	
㝂	tj	rj	2	ţjed0
㝃	m	in	1	myan1,mien1
㝄	z	on	0	
㝅	k	rv	2	nu1,ku2
㝆	x	ej	1	
㝇	z	on	0	
㝈	l	yn	0	sruan2,sryen2
㝊	s	rv	1	
㝋	l	iv	0	
㝌	k	rv	2	ju1,kiu2
㝍	s	e	1	
㝎	d	ig	2	
㝏	k	aj	2	krai2
㝐	j	ug	0	jyug0
㝑	b	og	0	
㝒	k	y	0	
㝓	x	rm	3	
㝔	q	iv	1	
㝔	q	iv	2	
㝕	n	ig	0	
㝖	g	i	0	gie0
㝗	l	og	0	lag0,lag1
㝗	l	og	2	lag0,lag1
㝘	j	ug	0	
㝙	j	rn	0	
㝚		in	0	
㝛	s	ug	3	
㝛	s	rv	2	
㝜	s	ig	3	
㝝	l	rm	0	
㝞	q	a	0	qra0
㝟	m	ov	2	
㝠	m	ig	0	
㝠	m	ig	1	
㝡	ţ	wj	2	
㝢	h	y	1	yo1
㝣	q	rj	2	qe2,qet
㝤	k	rv	2	ku2
㝥	m	rj	0	
㝦	ţ	on	2	
㝧	qv	rn	1	
㝨		yn	0	
㝩	ꝁ	oj	0	ꝁag0,ꝁag1
㝩	ꝁ	og	0	ꝁag0,ꝁag1
㝪	t	im	2	tem2,tep
㝫	l	ug	0	
㝬		u	0	
㝭	s	ig	1	
㝮	ṯ	wj	2	
㝯	c	iv	0	ţieu0
㝰	m	in	0	men0
㝱	m	ug	2	miug2
㝱	m	ug	0	miug2
㝲	ṯ	rm	1	
㝳	s	rm	0	
㝴		yn	0	
㝵	t	rg	3	
㝶	t	rg	3	
㝷	ḑ	rm	0	
㝸	b	in	2	
㝹	n	rv	0	
㝺	l	im	0	
㝻	k	rn	1	ţin2
㝼	q	y	0	qyo0
㝽	s	wj	1	
㝾	ţ	o	1	ţa1,ţa2
㝿	p	rj	0	pua1
㝿	p	o	1	pua1
㝿	p	ej	2	pua1
㞀	pv	uj	0	
㞁		iv	2	jeu2
㞂	ŧ	uj	1	ŧuai1
㞃	cx	eg	3	
㞄	q	om	0	qom0,qom1
㞅	l	o	2	
㞆	k	i	1	kie1,ꝁie2
㞇	qv	uj	1	quai1
㞈	p	un	3	
㞉	ţ	an	3	
㞊	s	on	3	
㞋	qn	in	1	njyen1
㞌	j	rn	2	
㞍		yn	0	
㞎	p	a	1	
㞏	dj	am	3	drip
㞐	k	y	0	
㞐	k	ej	0	
㞑	m	ej	1	
