character	initial	final	tone	mc
㟘	d	iv	0	
㟙	ḑ	ag	3	
㟚	c	ej	0	
㟛	ḑ	am	2	ḑam1
㟜	m	ej	0	
㟝	b	uj	0	
㟞	dj	an	2	ḑren1
㟟	h	og	2	
㟠	k	og	0	
㟡	cv	i	1	
㟢	ꝁ	ej	0	
㟣	s	ug	0	
㟤	l	ug	3	
㟦	v	rn	2	
㟧	g	og	3	
㟨	t	yn	0	
㟩	m	rn	0	
㟪	qv	i	2	qyoi0
㟫	ḑ	yn	0	
㟬	s	rv	1	
㟭	m	rn	0	
㟮	d	rn	3	
㟯	g	ag	3	
㟰	m	ig	1	
㟱		iv	1	
㟲		yn	0	
㟳	l	on	3	lit
㟴	pv	aj	2	
㟵	k	og	0	
㟶		yn	0	
㟷	t	an	3	
㟸	k	ov	0	
㟹	l	ov	0	
㟺	l	rv	1	lyo0
㟻	ṯ	im	2	
㟼	g	ov	2	
㟽	p	iv	1	pjeu1
㟾	j	ug	0	jyug0
㟿	qm	rg	2	
㠀	t	ov	1	tau1
㠁	ṯ	rm	0	
㠁	ṯ	am	0	
㠂	g	ov	2	
㠃	t	ig	3	
㠄	ḑ	am	3	
㠅	bv	ug	3	
㠆	t	an	0	tan0
㠇	ḑ	rv	2	ḑiu2
㠈	j	on	2	
㠉	d	ug	0	
㠊	ꝁ	wj	0	ꝁio0
㠋	g	og	3	
㠌	ꝁ	rj	0	
㠍	ṯ	rm	3	ţip
㠎	ḑ	am	3	
㠏	v	a	0	
㠐	c	iv	2	ţieu0
㠑	ḑ	uj	2	ḑyi1,ḑuai1
㠒	p	iv	1	pjeu0
㠓	m	ug	0	
㠔	p	aj	2	pre2
㠕	g	rj	0	
㠖	g	rj	1	gie1
㠗	q	ov	2	
㠘	ḑ	wj	2	
㠙	h	ov	0	
㠚	d	wj	2	
㠛	v	ag	3	qyek
㠜		ig	3	
㠝	ḑ	yn	0	
㠞	ţ	ig	0	
㠟	l	rj	0	
㠠	l	wj	0	lio0
㠡	n	iv	1	
㠢	hv	aj	0	xruai0
㠣	l	ig	3	
㠤	s	wg	0	
㠥	l	on	3	lyi0
㠦	ꝑv	ug	0	ꝑiug0
㠧	m	ej	1	
㠨	qv	rn	3	
㠩	pv	og	0	
㠪	c	y	2	
㠫	bhv	an	0	
㠬	x	rv	1	
㠭	tj	in	1	trien1
㠮	ꝑ	ug	0	
㠯		i	1	ji1
㠰	k	a	0	
㠱	c	ej	2	
㠲	p	ej	1	
㠳	j	rm	3	
㠴	nj	rn	2	njit
㠵	xv	og	0	xuag0
㠶	bhv	an	0	
㠷	k	om	3	kop
㠸	pv	u	0	pyo0
㠹	k	aj	2	krai2
㠺	sj	a	0	mjeu0
㠻	x	ej	0	
㠼	s	i	0	
㠽	d	ug	0	duug0
㠾	q	yn	0	qyan0
㠿	ţ	i	0	ţie0
㡀	b	rj	2	bjed0
㡁	ꝁv	a	1	ꝁrua1
㡂	l	rj	2	
㡃	pv	og	0	
㡄	s	on	0	
㡅	n	o	1	na1
㡆	xv	og	0	xuag0
㡇	tj	im	3	tem0,triep,ŧep
㡈	m	rn	2	
㡉	k	in	0	ken0
㡊	ꝁ	rm	3	ꝁrep
㡋	q	im	3	qiap
㡌	m	ov	2	
㡍	m	og	3	
㡏	sj	y	0	sryo0,sryo2
㡐	ţ	in	0	
㡑	ṯ	iv	0	ṯieu0,ţeu1
㡒	tj	on	0	dryn0,tryn0,duon1
㡓	kv	rn	0	kuon0
㡔	m	ov	2	mo0,myo2,muk
㡕	q	wg	0	
㡖	ḑ	og	0	
㡗	d	rj	0	de0,xe0
㡘	l	im	0	liem0
㡙	p	rj	0	pe0
㡚	ꝁ	rv	0	
㡛	m	og	0	
㡛	pv	og	0	
㡜	s	in	3	sried0,siet,syet
㡝	bv	ug	2	byug2
㡞	l	rv	0	
㡟	ţ	ov	0	ţau0,ṯau0
㡠	ţ	ig	2	
㡡	ḑ	y	0	
㡡	ḑ	wj	0	
㡢	m	an	2	
㡣	l	ug	0	
㡤		im	3	
㡥	qj	rn	2	qion2
㡦	ꝑ	rn	0	
㡧	tj	ig	2	trag2
㡨	ţ	im	0	ṯiem0,ţiem0
㡩	l	yn	0	
㡪	pv	rn	0	
㡫	q	rj	2	
㡬	k	ej	1	
㡭	k	rj	2	
㡮	c	rn	3	
㡯	dj	ag	3	drak
㡰		y	1	
㡱	k	rv	2	
㡲	hv	an	0	xruan0
㡳	ţ	i	1	
㡴	l	am	3	
㡵	l	ig	0	
㡶	ţ	i	1	
㡷	p	un	1	puon1
㡸	ḑ	a	2	
㡹	ṯ	i	2	ṯie2
㡺	t	an	2	tan2
㡻	l	iv	2	
㡼		i	2	jii2
㡽	ḑ	iv	2	
㡾	h	an	2	
㡿	ŧj	ig	3	ṯjek
㢀	ṯ	i	2	ṯie2
㢁	ŧj	i	1	ṯje1
㢂	g	im	1	giam1
㢃	l	og	0	
㢄	d	rv	2	
㢅	l	ug	2	lug2
㢆	ḑ	in	0	
㢇		in	0	
㢈	d	uj	0	duai0
㢉	ḑ	a	0	
㢊	q	rj	1	qre1
㢋	ŧj	i	1	ṯje1
㢌	q	a	2	
㢍	q	ig	1	
㢎	ţ	im	3	
㢏	d	rv	0	du0
㢐	qv	a	0	
㢑	d	wj	0	
㢒	dj	a	0	ḑra0
㢓	tj	wg	2	ţjag2
㢔	ţ	ug	1	ţug1
㢕	qj	ug	0	
㢖	ꝑ	un	0	ꝑuan0
㢗	ꝁ	iv	2	ꝁieu2
㢘	l	im	0	
㢙	c	rn	0	
㢚	l	ov	1	lo0,lo1
㢛		im	2	
㢜	ꝁ	og	1	
㢝	s	ov	0	so0
㢞		ig	3	
㢟	ŧj	in	0	ŧrien0,ŧrien1
㢠	kv	ig	1	
㢡	ţ	wg	1	ţiag1
㢢	b	rj	2	
㢣	c	ig	0	
㢤	ţ	oj	0	
㢥	d	ug	2	
㢦	k	o	0	
㢧	k	yn	1	
㢨	h	on	2	xan2
㢩	t	ig	3	
㢪	ꝁv	u	0	qo0,ꝁo0
㢫	s	an	0	
㢬	v	rg	0	
㢭	ŧ	ov	0	
㢮	ḑ	i	0	
㢯	t	on	0	tuon0
㢰	b	i	2	bie2
㢱	n	ej	0	
㢲	s	on	2	
㢳	l	ov	0	
㢴	s	rj	0	
㢵	x	im	3	xiap
㢶	b	rn	3	
㢷	s	wj	2	
㢸	b	rn	3	bit
㢹	s	rn	0	
㢺		in	0	
㢻	j	uj	2	nrye2
㢼	p	in	3	pet
㢽	n	ej	2	
㢾	k	yn	2	kuen2
㢿	h	rv	0	
㣀	ţ	rn	2	
㣁	b	i	2	bii2
㣂	g	ag	3	grek
㣃	j	ug	3	
㣄	c	y	0	
㣅	ḑ	am	2	ḑom1
㣆	m	i	0	mje0
㣇	d	rj	2	jii2,de2
㣈	s	i	2	sii2
㣉	k	ug	0	
㣊	m	rn	0	
㣋	t	an	0	
㣌	sj	am	2	sram2
㣍	d	oj	0	
㣎	m	ug	3	miuk
㣏	ḑ	ig	2	
㣐	p	in	2	
㣑	j	ug	0	jyug0
㣒	ṯ	ig	2	
㣓	ṯ	an	2	
㣔	t	ig	0	
㣕	d	aj	2	
㣖	ŧ	aj	2	
㣗		u	2	
㣘	ꝁ	y	0	
㣙	d	ig	3	dek
㣚	ŧ	ug	1	
㣛	ŧ	am	3	
㣜		ig	0	
㣝	s	ug	0	siug0
㣞	d	yn	3	
㣟	x	rn	3	xjit
㣠	ŧ	ov	0	
㣡	ḑ	ug	2	
㣢	d	rj	0	
㣣	s	im	2	
㣤	ḑ	in	1	ḑien1
㣥	dj	i	2	dri1
㣦	qv	i	0	
㣧	j	rn	2	
㣨	k	u	0	
㣩	l	rm	0	
㣪		un	2	
㣫	tj	ug	1	ţjyug1
㣬	ṯ	rm	3	
㣭	ţ	ug	0	ţug0
㣮	n	am	0	
㣯	s	in	3	
㣰	s	rn	3	
㣱	dj	ag	3	ḑrek
㣲	m	ej	0	
㣳	m	ov	0	
㣴	v	og	0	
㣵	ŧ	an	3	
㣶	tj	an	0	tren0
㣷	n	ig	2	
㣸	j	oj	2	
㣹	q	ig	2	
㣺	s	rm	0	
㣻	g	aj	2	giad0
㣼	qj	rn	1	
㣽	s	y	2	
㣾	ṯ	a	2	
㣿	tj	wg	3	teu1,ţjak,tek
㤀	m	og	0	
㤁	ŧ	im	1	
㤂	k	rm	3	
㤃	pv	og	0	
㤄	ꝑ	uj	2	ꝑad0,ꝑyad0,ꝑyat,puat
㤅	q	oj	2	qai2
㤆	ꝑv	an	2	ꝑyan2
㤇	q	ov	2	qau1
㤈	ṯ	rm	2	
㤉	ꝁ	a	0	ꝁra0
㤊	h	av	2	xrau0,xrau2
㤋	pv	rn	0	
㤌	k	rm	0	
㤍	ꝁ	av	0	ꝁrau0
㤎	k	o	0	ka0
㤏	t	ug	1	duug0
㤐	ŧ	im	3	
㤑	qj	rv	0	
㤒	k	ov	0	kau0
㤓	b	rn	2	
㤔	bv	u	2	
㤕	ŧj	on	3	ŧryt,tryt
㤗	ŧ	aj	2	
㤙	qj	rn	0	
㤚	h	og	0	
㤛	j	rm	2	
㤜	z	on	3	
㤝	ŧj	ug	0	ṯjug0
㤞	ŧj	a	2	dak
㤞	d	og	3	dak
㤟	x	ug	1	
㤠	l	in	3	liet
㤡	l	rj	2	
㤢	qj	ug	3	
㤣	ꝑ	ag	0	
㤤		y	0	
㤥	h	oj	2	xai2
㤦	l	ej	2	
㤧	h	rv	0	
㤨	k	ug	1	kyug1
㤩	ꝁ	og	3	ꝁak
㤪	q	yn	2	
㤫	t	rg	3	
㤬	v	i	2	
㤮	kv	og	2	kyag2,yag2
㤯	kv	ig	1	
㤰	ţ	og	3	
㤰	ḑ	og	3	
㤱	ꝑv	u	2	ꝑiu1,ꝑiu2
㤲	ꝁ	im	3	ꝁep
㤳	p	uj	1	
㤴	ŧj	im	3	ṯjep,ŧriep
㤵	ḑ	i	0	
㤶	m	og	0	
㤷	x	rm	0	
㤸	x	ig	3	xek
㤹	c	rv	0	
㤺	pv	og	0	
㤻	d	ug	0	luon1
㤼	k	im	3	
㤾	s	am	2	som2
㤿	q	im	0	qjem0,qiam2
㥀	ḑ	ig	3	
㥁	t	rg	3	tok
㥂	ŧ	ig	3	ŧok
㥃	m	un	2	
㥄	l	ig	0	lig0
㥅	z	rv	2	
㥆	ŧ	uj	2	ŧuai2,ŧuot
㥇	ḑ	an	0	
㥈	d	im	3	dep
㥉	ṯ	rj	2	
㥊	b	rg	0	breg0
㥋	q	i	0	qioi0,qioi1
㥌	k	ug	3	kiuk
㥍	c	ej	2	
㥎	l	ej	0	
㥏	d	in	1	ŧen1
㥏	ŧ	in	1	ŧen1
㥐	q	yn	2	
㥑	qj	rv	0	
㥒	ṯ	oj	1	ṯai1
㥓	ꝁ	i	0	ꝁie0,ꝁie1
㥔	j	ug	3	
㥕	l	in	0	
㥖	ṯ	ug	0	
㥗	m	rn	1	
㥘	k	im	3	
㥙	ţ	ug	0	
㥚		y	0	jyo0,jyo1
㥛	c	ig	3	kik
㥜	hv	i	2	yoi2
㥝	m	i	1	mje1
㥞	s	wj	2	
㥟	h	aj	0	xre0
㥠	s	wj	0	sio0,sio1
㥡	ṯ	i	2	
㥢	ḑ	rv	0	ḑiu0
㥣	v	i	2	
㥤	k	ig	0	
㥥		y	0	
㥦	ꝁ	im	3	ꝁep
㥦	h	im	3	ꝁep
㥧	z	on	2	
㥨	zj	uj	2	ḑjye1
㥩	t	o	1	
㥫	t	on	0	
㥬	b	og	0	
㥭	ŧ	aj	2	
㥮	ţ	rv	2	
㥮	ṯ	rv	0	
㥯	qj	rn	1	qion1,qion2
㥰	s	ov	0	
㥱	pv	ej	1	
㥲	ṯ	rn	0	
㥳		yn	0	
㥴		i	0	je0,je1
㥵	v	rn	2	
㥶	s	rg	3	sok
㥷	q	rj	2	qe2
㥸	m	rn	1	
㥹	pv	rn	1	
㥺	h	rm	3	
㥻	ṯ	ig	3	
㥼	qj	rn	2	
㥽	ŧj	ag	3	ṯrek
㥾	n	ig	3	nrit,nrik
㥿	g	ov	2	
㦀	bhv	ug	0	
㦁	l	in	0	lien0
㦂	z	wg	0	
㦃	ŧj	an	1	sren1,ṯren1,ṯruen1
㦄	m	a	0	mra0
㦅	d	in	3	det
㦆	pv	u	0	
㦇	l	ug	3	
㦈	q	oj	2	
㦉	q	i	2	
㦊	v	a	0	
㦋	ţ	a	0	
㦌	xv	rn	3	xuot
㦍	g	og	3	
㦎	v	ag	3	xruek
㦏	s	on	1	
㦐	n	ej	2	
㦑	x	am	2	
㦒	ql	rj	1	le0
㦓	h	in	2	xen1
㦔	q	im	0	
㦕	l	ug	0	
㦖	m	un	2	
㦗	k	rm	0	kim0
㦘	k	ig	3	
㦙		y	0	
㦚	p	in	1	pjen1
㦛		y	0	jo0,jo1
㦜	hv	og	3	xuak
㦝	m	og	3	mruk
㦞	ḑ	rv	0	
㦟	m	aj	0	mrai0
㦠	d	wj	2	
㦡	l	og	3	
㦢	ţ	in	3	
㦣	gv	i	2	ţied0,yed0,gjed0
㦤	q	i	2	
㦥	x	yn	0	
㦦	x	ig	3	xek
㦧	ṯ	am	1	
㦨	l	an	1	
㦩	qj	rn	1	
㦪	s	im	3	
㦫	ţ	an	3	
㦬	l	o	1	la1
㦭	l	in	0	
㦮	ţ	in	0	
㦯	v	ag	3	
㦰	ţ	im	0	
㦱	g	o	1	
㦲	ţ	oj	0	
㦳	g	o	1	
㦴	k	ag	3	krak
㦵	tj	y	0	tryo0
㦶	d	in	3	
㦷	j	ug	1	
㦸	k	ig	3	
㦹	j	og	0	
㦺	nj	ug	3	njyuk
㦻	ḑ	am	3	
㦼	sj	wg	2	srug2
㦽	qj	ug	3	
㦾		i	0	
㦿	ꝁ	am	1	ꝁrem1
㧀	c	rm	3	ţip
㧁	ꝁ	wj	2	ꝁio2,kop,ꝁop,xap
㧂	d	in	0	
㧃	s	rv	0	
㧄	ꝁ	rm	1	ꝁyam1
㧅	m	ug	3	
㧆	k	rn	2	kion2
㧇	m	ov	2	
㧈	j	rn	1	
㧉	k	oj	2	kai2
㧊	ꝑ	un	3	ꝑuat
㧋	x	yn	1	
㧌	m	ov	0	
㧍	pv	og	1	
㧎	g	a	0	
㧒	hv	rn	3	yt
㧓	kv	a	0	krua0
㧔	kv	aj	2	kruai2
㧕	l	rv	1	
㧖	q	rg	3	qrek
㧖	q	ag	3	qrek
㧗	ţ	i	1	ţie1,ţrie1,ţe1
㧘	ḑ	i	2	ḑre0,ţie2,ḑie2
㧙	ꝑ	in	3	
㧚	g	a	1	
㧜	l	am	3	
㧝	ꝁ	e	1	
㧞	b	rn	3	
㧠	m	ej	0	
㧡	h	oj	2	xai1
㧢	qj	rn	0	qjin0
㧣	ţ	y	0	
㧤	ṯ	ug	2	
㧥	s	in	1	
㧦	x	yn	2	xuen2
㧧	s	o	0	
㧨	c	rv	0	
㧩	b	uj	2	
㧪	kv	i	1	
㧫		i	0	
㧬	k	ug	1	kyug1
㧬	qg	ug	1	kyug1
㧭	c	ug	0	
㧮	pv	rn	3	
㧯	l	ov	1	
㧱	n	a	0	
㧲	s	om	1	som1
㧳	dj	uj	2	drue1
㧴	g	o	1	ga1
㧵	b	rv	0	
㧶	ꝁ	rg	0	ꝁreg0
㧷	ŧ	rn	2	
㧸	ꝑ	ag	0	
㧹	ŧ	ig	3	ŧok
㧺	ŧ	am	3	dop
㧻	t	ug	3	truk
㧼	p	iv	1	
㧽	k	u	2	
㧾	ꝁv	rn	3	ꝁuot
㧿	ṯ	ug	0	
㨀	p	ig	1	
㨁	dj	i	2	dri2,ḑjik
㨂	t	ug	1	
㨃	t	wj	1	
㨄	ţ	rv	0	
㨅	n	uj	2	nrye2
㨆	l	rm	1	
㨆	l	rm	2	
㨇	b	o	0	
㨈	ţ	rj	0	
㨉	m	rn	0	min0
㨊	v	i	1	jyi1
㨋	ŧj	e	1	ṯja1
㨌	k	rv	2	
㨍	p	og	0	pag0
㨎	nj	y	1	njyet
㨏	ŧ	an	0	ŧan0
㨐	p	rv	1	pu1
㨑	ţ	ug	0	
㨒	ꝁv	uj	0	ꝁue0
㨓	l	ov	0	
㨔	h	rm	2	
㨕		ig	0	
㨖	tj	i	2	trie1,trii1,tri1,trii2
㨗	ḑ	in	3	
㨗	ţ	in	3	
㨗	ṯ	im	3	
㨘	s	rg	2	
㨘	s	ag	1	
㨙	h	aj	0	xre0,xe2
㨚	s	on	0	
㨛	s	im	1	
㨜	c	in	0	
㨝	s	in	3	set
㨞	s	ov	2	so2
㨟	k	oj	0	kai0,xai0
㨠	m	ig	3	men1
㨡	hv	rn	3	xuon0,xuot
㨢	ꝑ	ej	0	
㨣	qj	ug	1	
㨤	cv	aj	1	ꝁruai0
㨥	n	am	3	nop
㨦	s	ug	1	
㨧	b	rn	2	buon1
㨨	ŧj	rv	0	ŧriu0
㨩	ḑ	in	3	
㨪	pv	og	1	
㨫	l	am	1	
㨬		yn	0	
㨭		u	2	
㨮	t	rv	0	
㨯	ꝁv	og	3	
㨰	kv	rn	2	
㨱		iv	0	
㨲	ṯ	ag	3	
㨳	kv	i	1	
㨴	ꝁ	in	1	
㨵	ţ	in	1	ţien1
㨶	t	ov	1	
㨷	k	rn	2	ţin0,kion2
㨸	qm	an	3	
㨹	v	i	2	ţyed0,syet
㨺	m	in	1	
㨻	ḑ	am	0	ḑam0,sram1
㨼	l	wg	3	
㨽	p	ig	3	
㨾	j	og	2	jag2
㨿	k	y	2	
㩀	k	y	2	
㩁	ꝁ	og	3	
㩂	h	ug	3	
㩃	k	in	1	
㩄	s	aj	0	
㩅	ṯ	rv	0	
㩆	ţ	rv	2	
㩇	v	ag	3	xruek,ţruek
㩈	v	rn	1	
㩉	t	am	3	lop,tap
㩊	s	yn	0	syen0
㩋	s	og	3	seu0,seu1,seu2,sriuk,siuk
㩋	s	iv	0	seu0,seu1,seu2,sriuk,siuk
㩌	bv	ej	2	
㩍	ṯ	ag	3	
㩎	q	im	3	
㩏	x	rg	3	
㩐	t	rn	2	
㩐	d	rn	2	
㩑	s	am	3	
㩒	c	rm	2	ţim0
㩓	xv	i	1	xye1
㩔	d	yn	0	
㩕	ql	ig	0	
㩖	c	wg	0	
㩗	cv	i	0	
㩘		i	1	
㩙	s	rg	3	
㩚	m	ug	0	
㩛	d	yn	0	
㩜	l	am	1	lam0
㩝	h	ov	0	
㩞	ṯ	ag	3	
㩟	ḑ	aj	2	
㩠	q	ov	0	
㩡	ql	o	1	
㩢	m	in	3	me2,mrat,met
㩣	pv	i	0	
㩤	ꝑv	u	0	ꝑyo0
㩥	ṯ	im	0	
㩦	cv	i	0	
㩧	p	og	3	bruk,ꝑruk
㩨	hv	i	2	xue2
㩩	ꝁ	ig	1	ꝁjyeg1
㩪	ꝁ	in	3	
㩫	ţ	rn	3	
㩬	x	ej	0	
㩭	k	av	1	
㩮	k	y	1	
㩯	b	un	0	
㩰	ţ	iv	1	
㩱	ţ	wg	3	ţiak
㩲	c	yn	0	
㩳	s	ug	1	syug1
㩴	k	ug	3	
㩵	g	an	3	ḑat,gat
㩶	n	im	3	
㩷	x	in	0	
㩸	d	im	3	
㩹	d	im	3	dep
㩺	ꝑ	i	0	ꝑjii0
㩻	ꝁ	i	0	ꝁie0,kye2
㩼	tj	i	0	ţje0
㩽	c	i	0	ţie0
㩾	tj	uj	0	trye0
㩿	ꝁv	rn	3	ꝁuot
㪀	q	y	0	
㪁	c	om	0	ţim0,ꝁom0,ꝁiam0,ꝁiam2
㪂	pv	rn	3	
㪃	x	o	1	xa1
㪄	bv	rn	3	
㪅	k	rg	0	
㪆	t	rj	1	te1
㪇	s	in	2	sen2
㪈	kv	i	2	
㪉	h	om	3	kop
㪊	cv	rn	0	
㪋	h	on	2	xa1,xan2
㪌	ŧ	ug	1	sug1
㪍	b	uj	2	buot
㪍	b	un	3	buot
㪎	s	im	1	
㪏	p	rj	1	pe1,pe2
㪐	l	on	3	luot
㪑	q	im	3	qiap
㪒	g	rj	0	ge0,ge1
㪓	ḑ	wj	0	
㪔	s	an	2	
㪕	d	iv	2	
㪖	l	ug	3	luk,lyuk
㪗	ŧ	rv	1	
㪘	l	im	1	
㪙	ꝁv	o	1	ꝁua2
㪚	s	an	2	
㪚	s	an	1	
㪛	ţ	rm	1	
㪜	ŧj	uj	1	ṯrye1,ṯjyen1,tua1
㪝	l	in	2	len2
㪞	m	ov	2	
㪟	t	on	0	
㪟	t	wj	0	
㪟	t	wj	2	
㪟	d	yn	0	
㪠	ţ	am	0	
㪡	ꝁ	oj	2	ꝁad0
㪢	s	av	1	
㪣	x	iv	0	
㪤	p	rn	3	pjit
㪥	tj	a	0	ţra0
㪦	j	rn	2	
㪧	qj	rm	3	
㪨	z	in	2	
㪩	s	og	3	siuk
㪪	s	am	3	sap
㪫	j	oj	2	
㪬	ŧj	wg	3	druk,ŧruk
㪭	l	ov	0	lo0
㪮	l	ig	0	
㪯	k	y	1	
㪰	ţ	aj	0	
㪱		un	2	
㪲	t	rv	1	
㪳	t	rv	1	
㪴	k	in	3	
㪵	p	un	2	puan2
㪶	h	ug	3	
㪷	t	rv	1	tu1
㪸	ţ	rm	0	
㪹	l	rv	1	lu1
㪺	ꝁ	y	0	kyo0
㪻	k	yn	2	ꝑyan2,kyan2
㪼	x	o	1	
㪽	s	o	1	
㪾	l	og	3	
㪿	ţ	in	3	
㫀	t	ig	1	
㫁	d	yn	2	
㫂	tj	y	2	ţjo2
㫃	q	in	1	qian1,qien1
㫄	b	og	0	
㫅	c	ej	0	
㫆		i	1	
㫇	q	y	0	
㫈	q	y	0	
㫉	g	rj	0	
㫊	q	i	1	qa1
㫋	ţ	in	0	
㫌	z	yn	0	
㫍	j	rv	0	jeu0
㫎	xv	i	0	xyoi0
㫏	q	iv	1	qeu1
㫐	q	iv	1	qeu1
㫑	ţ	i	1	
㫒	k	ug	0	
㫓	x	ej	2	
㫔	k	rn	2	
㫕	kv	og	0	
㫖	ţ	i	1	
㫗	h	rv	1	
㫘	m	rn	3	
㫙	bhv	u	0	
㫚	pv	rn	3	
㫛	kv	og	2	
㫜	ŧ	an	1	
㫝	t	rj	0	
㫞	ŧ	ov	0	
㫟		yn	0	
㫠	p	un	2	
㫡	t	ug	0	
㫢	x	wj	2	
㫣	m	rn	1	
㫤	ṯ	og	1	
㫥	m	ig	0	
㫦	ŧ	ov	0	
㫧	b	ov	2	
㫨	q	on	0	
㫩	ṯ	on	0	
㫪	ţ	ug	0	
㫫	x	in	1	
㫬	ḑ	on	0	
㫭	z	i	0	
㫮	ṯ	i	1	
㫯	m	ov	2	
㫰	l	og	2	
㫱	n	an	1	nran1
㫲	ꝑ	uj	2	
㫳	z	rn	0	
㫴	x	av	0	
㫵	pv	ej	0	
㫶	ţ	rv	1	
㫷	k	ej	0	
㫸	ţ	im	3	
㫹	sj	o	2	srio2
㫺	s	ig	3	
㫻	kv	rn	2	
㫼	ţ	in	3	
㫽	l	ug	3	lyuk
㫾	z	wg	2	
㫿	ţ	wj	0	
㬀	x	wg	1	
㬁	ṯ	am	3	
㬂		y	0	
㬃	d	oj	0	
㬄	ŧj	an	2	ŧran2
㬅	m	an	2	
㬆	m	rn	1	
㬇		un	2	
㬈	qv	rn	0	
㬉	n	yn	1	nuan1
㬊	hv	un	2	xuan1
㬋	h	rv	0	
㬌	k	ig	1	
㬍	p	og	3	
㬎	x	in	1	gop
㬏	l	ig	3	
㬐	ţ	on	2	
㬑	kv	og	3	
㬒	m	og	1	mag1
㬓	ꝑ	iv	2	ꝑjeu2
㬔	h	ov	0	
㬕	j	og	0	
㬖	ꝁ	rj	1	
㬗	n	in	2	nen2
㬘	s	ug	3	
㬙	v	i	1	
㬚	ṯ	in	3	
㬛	ꝁ	rm	3	
㬜	ţ	on	2	ţin2
㬝	ḑ	rg	0	sug0
㬞	x	on	3	
㬟	pv	rn	0	
㬠	s	aj	2	
㬠	s	an	3	
㬡	l	ig	0	
㬢	x	ej	0	
㬣	d	wj	2	
㬤	ꝁj	rm	3	ꝁip
㬥	b	ov	2	
㬥	b	ug	3	
㬦	qv	og	3	
㬧	b	ov	2	
㬨	x	ag	3	
㬩	qv	i	2	
㬪	d	im	3	
㬪	d	am	3	
㬫	q	in	2	qen2
㬬	c	y	0	
㬭	ţ	wg	3	
㬭	ţ	iv	2	
㬭	ḑ	iv	2	
㬮	n	an	2	nren0,nan2
㬯	l	im	3	
㬰		y	0	
㬱	ŧ	rj	2	ŧe2
㬲	ŧ	im	0	
㬳	g		1	
㬴	x	ug	1	
㬵	k	av	0	
㬶	h	ov	2	
㬷	ꝁv	rn	2	
㬸	ŧ	iv	0	
㬹	ţ	ag	0	
㬺	d	rg	0	
㬻	xv	og	0	xuag1
㬼	bv	ug	3	
㬽	g	og	3	
㬾	d	yn	0	
㬿	ŧ	rn	0	
㭀	z	rj	2	
㭁	nj	ig	0	njig0,njig2
㭂	qn	iv	0	ţeu1
㭃	k	og	0	
㭄	s	on	2	
㭅	s	am	0	
㭆	n	aj	1	
㭇		yn	2	
㭈	ꝁ	yn	3	kuet
㭉	v	a	0	
㭊	s	ig	3	sek
㭊	ṯ	ig	3	sek
㭋	b	ag	1	brug1
㭌		y	0	
㭍	ṯ	rn	3	
㭐	d	aj	2	
㭑	m	uj	2	
㭒	ḑ	i	2	
㭓	b	in	2	
㭔	l	ov	0	lo0
㭕	ꝁ	y	0	ꝁio0
㭖	d	oj	2	
㭗	m	ig	1	
㭘	k	om	3	xop,kop,ţiep,ţiap
㭙	ḑ	ag	3	
㭚	l	wj	1	lio1
㭛	ꝑ	aj	2	ꝑre2
㭜	nj	ug	0	njug0
㭝	c	rv	0	ţiu0
㭞	ql	yn	3	
㭟	k	ug	1	
㭠	s	in	1	sen1
㭡	s	rj	2	
㭢	x	ig	0	
㭣	m	rn	2	
㭥	bv	u	2	
㭦	ḑ	ag	3	
㭧	ţ	rv	0	
㭨	j	e	0	
㭩	l	yn	3	lo1,luat,lyet
㭪	pv	u	0	
㭫	ḑ	o	0	ḑua0
㭬	t	wg	3	
㭭	p	an	3	prat,pet
㭮	ţ	an	3	
㭯	tj	im	3	triep
㭰	ţ	uj	1	ţie0,ţye0,ţye1
㭱	h	am	3	
㭲	c	ig	3	
㭳	x	av	2	
㭵	d	in	2	
㭶	pv	og	0	
㭷	n	am	0	
㭸	d	ov	0	do0
㭹		in	0	
㭺	q	im	1	qiem1
㭻	d	og	0	
㭼	ŧ	am	3	dop,ŧop
㭽	t	rj	1	
㭾	cv	rn	3	
㭿	g	og	0	gag0
㮀	h	am	0	xrem0
㮁	h	av	0	xrau0
㮂	k	ug	3	kyuk
㮃	qv	i	0	qye0
㮄	p	og	1	
㮅	tj	uj	0	ţjyi0
㮆		in	3	
㮇	ŧ	im	2	ŧem2
㮈	n	oj	2	
㮉	h	rm	3	
㮊	m	rv	2	
㮋	j	rv	1	
㮌	m	in	0	mjen0
㮍	ţ	in	0	ţen0
㮎	p	uj	0	
㮏	n	oj	2	
㮐	s	ag	1	sieg1
㮑	ṯ	am	3	
㮒		im	1	
㮓	k	rg	1	
㮔	ṯ	ug	2	
㮕	nj	yn	1	njyen1
㮖	k	in	3	kret
㮗	k	ig	0	
㮘	m	ov	0	
㮙	g	og	3	gak
㮚	l	on	3	lit
㮛	ḑ	i	0	
㮜	ţ	og	0	
㮝	h	rn	3	xrek
㮞	ţ	in	3	
㮟	qn	in	1	
㮠	v	ig	0	
㮡	k	un	2	
㮢	h	rv	0	xu0
㮣	ꝁ	oj	2	
㮤	ḑ	ug	0	zyug0
㮥	b	rn	2	
㮦	s	og	3	sak
㮧	qv	u	0	qo0
㮨	ţ	ig	3	ţik
㮩	s	ig	3	sik
㮪	c	ug	0	
㮫	h	on	3	xat
